Name,Count,Rank,Percent,Overall_Rank,Total_Count
MCGARRY,6578,3570,95.2,4692,6907
MCFALL,6576,3572,87.8,4386,7486
JENKS,6576,3572,92.1,4562,7138
KRAUSS,6572,3574,96.4,4758,6815
DESMOND,6569,3575,90.8,4514,7233
STUBBLEFIELD,6567,3576,75.2,3728,8733
TRAVERS,6565,3577,85.3,4258,7698
SIMONE,6562,3578,93.2,4607,7040
HADDOCK,6561,3579,86,4304,7628
HORNING,6561,3579,97.4,4793,6733
CORWIN,6560,3581,95.6,4728,6863
NEWLAND,6559,3582,90.2,4490,7268
SALYER,6559,3582,95.6,4730,6861
WILLIFORD,6557,3584,81.2,4038,8080
BRUMFIELD,6555,3585,57.8,2913,11350
LACROIX,6548,3586,86.1,4321,7606
MCNAIR,6546,3587,42.8,2179,15299
FISHMAN,6543,3588,96.5,4774,6777
WALLING,6542,3589,95.4,4731,6860
PREWITT,6539,3590,78.4,3915,8341
ACKLEY,6538,3591,94.8,4702,6895
LYLES,6536,3592,41.8,2128,15632
KEISER,6534,3593,95.8,4749,6822
MCCURRY,6533,3594,87.9,4412,7433
GINGERICH,6531,3595,97.9,4826,6674
WICKHAM,6530,3596,91.9,4579,7104
ABELL,6530,3596,95.2,4731,6860
SEE,6529,3598,77.6,3880,8412
NEWKIRK,6521,3599,64.2,3223,10165
SHORES,6521,3599,88.8,4453,7342
BLODGETT,6519,3601,94.8,4712,6878
MAJORS,6517,3602,68.7,3448,9480
FAIN,6517,3602,82.9,4177,7865
DONLEY,6515,3604,88.3,4438,7382
STILLWELL,6515,3604,89.2,4464,7304
PEAK,6514,3606,81.1,4077,8034
MILBURN,6514,3606,84,4232,7754
FABIAN,6511,3608,59.5,3034,10951
PIEPER,6511,3608,96.7,4791,6734
IRISH,6510,3610,90.5,4533,7192
GABEL,6505,3611,96,4775,6776
EISENBERG,6504,3612,96.7,4798,6728
EAVES,6502,3613,84.7,4273,7674
MUNOZ,6501,3614,5.5,232,117774
NILES,6499,3615,81.3,4102,7993
HUEBNER,6495,3616,96.7,4806,6717
PIPPIN,6492,3617,92.5,4618,7018
TARR,6492,3617,93.5,4673,6941
ETHRIDGE,6491,3619,83.7,4230,7759
HEFLIN,6485,3620,87.3,4415,7431
POULIN,6480,3621,96.7,4812,6704
WALLEN,6474,3622,89.1,4495,7264
BECHTEL,6472,3623,96.8,4822,6683
REDD,6469,3624,51.8,2657,12479
MARTINI,6468,3625,92.6,4640,6988
KUHNS,6468,3625,96.4,4809,6710
VAN,6466,3627,51.6,2653,12531
TALBOTT,6458,3628,91.1,4584,7092
HEILMAN,6456,3629,97.2,4849,6641
DONALD,6452,3630,54.8,2802,11763
ERDMAN,6450,3631,97.4,4868,6624
HOAG,6449,3632,94.5,4749,6822
RICHMAN,6448,3633,94.8,4765,6803
WELBORN,6443,3634,91.9,4622,7014
EAGLE,6442,3635,81,4123,7949
