Name,Count,Rank,Percent,Overall_Rank,Total_Count
CHEEKS,2745,1411,72.8,8106,3769
JERNIGAN,2744,1413,17.9,2182,15298
WHITTAKER,2741,1414,16.7,2023,16441
CELESTINE,2740,1415,87.3,9506,3137
MCKEE,2735,1416,6.3,717,43555
STAMPS,2732,1417,39.2,4655,6962
PEGUES,2730,1418,80,8839,3411
TALBERT,2727,1419,24,2900,11370
MALLOY,2726,1420,17,2070,16056
SHULER,2726,1420,25.1,3063,10844
LANGLEY,2725,1422,10.3,1208,26560
BROOKINS,2721,1423,55.7,6414,4887
PIERSON,2720,1424,9.8,1158,27730
POWE,2713,1425,69.3,7844,3915
GIST,2709,1426,44.2,5234,6126
CARNEY,2708,1427,8.4,984,32282
CHAMBLISS,2706,1428,46.1,5454,5868
EZELL,2705,1429,24.8,3042,10926
GANDY,2703,1430,27.1,3290,9990
WILKS,2701,1431,31.1,3749,8686
VICTOR,2700,1432,27,3282,10015
KERR,2698,1433,6.3,729,42758
LAWTON,2696,1434,20.3,2488,13272
GREGG,2693,1435,10.6,1267,25457
NESMITH,2689,1436,39,4698,6898
TUBBS,2687,1437,22,2709,12191
BURLEY,2685,1438,30.7,3725,8743
HERNANDEZ,2684,1439,0.4,15,706372
BROCKINGTON,2684,1439,84.1,9365,3191
BEAMON,2681,1441,65,7440,4125
JEANLOUIS,2681,1441,85.8,9546,3124
GRANGER,2680,1443,16,1986,16721
ABERNATHY,2680,1443,16.5,2051,16194
KIRKSEY,2678,1445,51.2,6050,5230
DUKE,2676,1446,7.9,952,33745
BARKLEY,2676,1446,20.7,2573,12940
ROBY,2674,1448,29.8,3630,8986
BLACKBURN,2673,1449,7,826,38137
SUBER,2670,1450,64.4,7415,4144
NICKERSON,2664,1451,17.3,2162,15409
WINFREY,2663,1452,40.9,4951,6518
CODY,2660,1453,14.1,1739,18853
HUMPHRIES,2655,1454,14.9,1857,17785
SWAN,2654,1455,12,1477,22082
EDWARD,2654,1455,51,6074,5207
